timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/26 14:39:48.549, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 193 MiB, 32760 MiB
2026/04/26 14:39:53.550, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 193 MiB, 32760 MiB
2026/04/26 14:39:58.551, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 193 MiB, 32760 MiB
2026/04/26 14:40:03.552, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 196 MiB, 32760 MiB
2026/04/26 14:40:08.552, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 1911 MiB, 32760 MiB
2026/04/26 14:40:13.553, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 1911 MiB, 32760 MiB
2026/04/26 14:40:18.554, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 1911 MiB, 32760 MiB
2026/04/26 14:40:23.555, 0, NVIDIA RTX 5000 Ada Generation, 93 %, 1 %, 3239 MiB, 32760 MiB
2026/04/26 14:40:28.556, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 5505 MiB, 32760 MiB
2026/04/26 14:40:33.556, 0, NVIDIA RTX 5000 Ada Generation, 97 %, 1 %, 7977 MiB, 32760 MiB
2026/04/26 14:40:38.557, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 12737 MiB, 32760 MiB
2026/04/26 14:40:43.558, 0, NVIDIA RTX 5000 Ada Generation, 1 %, 0 %, 12751 MiB, 32760 MiB
2026/04/26 14:40:48.559, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 13157 MiB, 32760 MiB
2026/04/26 14:40:53.560, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 14489 MiB, 32760 MiB
2026/04/26 14:40:58.561, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 7 %, 19767 MiB, 32760 MiB
2026/04/26 14:41:03.562, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 7 %, 25045 MiB, 32760 MiB
2026/04/26 14:41:08.563, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 27789 MiB, 32760 MiB
2026/04/26 14:41:13.563, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 9 %, 28197 MiB, 32760 MiB
2026/04/26 14:41:18.564, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 28197 MiB, 32760 MiB
2026/04/26 14:41:23.565, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 29397 MiB, 32760 MiB
2026/04/26 14:41:28.566, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 29397 MiB, 32760 MiB
2026/04/26 14:41:33.567, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 8 %, 29397 MiB, 32760 MiB
2026/04/26 14:41:38.568, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 29397 MiB, 32760 MiB
2026/04/26 14:41:43.569, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 29397 MiB, 32760 MiB
2026/04/26 14:41:48.570, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 29397 MiB, 32760 MiB
