method,exit_code,runtime_s,samples,processed_samples,effective_batch,samples_per_sec,steps_per_sec,last_logged_step,total_steps,initial_loss,final_loss,loss_delta,avg_logged_loss,goodput_loss_drop_per_sample,statistical_efficiency,trainer_runtime_s,trainer_samples_per_sec,trainer_steps_per_sec,trainer_train_loss,trainer_epoch,gpu_count_seen,max_gpu_mem_mb,avg_gpu_util_pct,per_gpu_metrics_json,run_user,run_id,run_dir,train_log,gpu_log,loss_points_csv,loss_curve_png,gpu_util_curve_png,gpu_mem_curve_png,project_dir
stage2_fsdp_lora,1,50,10000,10000,8,200,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,193,0.0,"{""0"": {""avg_util_pct"": 0.0, ""max_mem_mb"": 193.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_140453,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140453,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140453/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140453/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140453/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140453/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140453/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
stage2_fsdp_lora,1,106,10000,10000,8,94.339623,11.792453,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,196,0.0,"{""0"": {""avg_util_pct"": 0.0, ""max_mem_mb"": 196.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_140450,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140450,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140450/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140450/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140450/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140450/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140450/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
stage2_fsdp_lora,1,76,10000,10000,8,131.57895,16.447368,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,196,0.0,"{""0"": {""avg_util_pct"": 0.0, ""max_mem_mb"": 196.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_140711,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140711,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140711/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140711/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140711/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140711/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140711/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
stage2_fsdp_lora,120,259,10000,10000,8,38.610039,4.8262548,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,196,0.0,"{""0"": {""avg_util_pct"": 0.0, ""max_mem_mb"": 196.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_140708,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140708,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140708/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140708/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140708/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140708/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_140708/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
stage2_fsdp_lora,1,17,10000,10000,8,588.23529,73.529412,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,196,0.0,"{""0"": {""avg_util_pct"": 0.0, ""max_mem_mb"": 196.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_141231,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141231,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141231/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141231/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141231/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141231/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141231/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
stage2_fsdp_lora,1,162,10000,10000,8,61.728395,7.7160494,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,196,0.0,"{""0"": {""avg_util_pct"": 0.0, ""max_mem_mb"": 196.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_141533,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141533,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141533/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141533/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141533/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141533/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141533/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
stage2_fsdp_lora,1,157,10000,10000,8,63.694268,7.9617834,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1823,0.4,"{""0"": {""avg_util_pct"": 0.4, ""max_mem_mb"": 1823.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_141541,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141541,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141541/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141541/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141541/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141541/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_141541/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
stage2_fsdp_lora,1,60,10000,10000,8,166.66667,20.833333,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1913,0.0,"{""0"": {""avg_util_pct"": 0.0, ""max_mem_mb"": 1913.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_143326,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143326,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143326/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143326/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143326/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143326/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143326/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
stage2_fsdp_lora,1,53,10000,10000,8,188.67925,23.584906,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,2039,0.0,"{""0"": {""avg_util_pct"": 0.0, ""max_mem_mb"": 2039.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_143333,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143333,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143333/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143333/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143333/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143333/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143333/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
stage2_fsdp_lora,1,42,10000,10000,8,238.09524,29.761905,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1911,0.0,"{""0"": {""avg_util_pct"": 0.0, ""max_mem_mb"": 1911.0, ""name"": ""NVIDIA RTX 5000 Ada Generation""}}",rassul.magauin,stage2_fsdp_lora_20260426_143630,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143630,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143630/train.log,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143630/gpu.csv,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143630/plots/loss_points.csv,n/a,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143630/plots/gpu_utilization_curve.png,/home/rassul.magauin/ml710/logs/runs/rassul.magauin/stage2_fsdp_lora_20260426_143630/plots/gpu_memory_curve.png,/home/rassul.magauin/ml710
