timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/27 02:13:03.437, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 26 MiB, 32760 MiB
2026/04/27 02:13:08.438, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 26 MiB, 32760 MiB
2026/04/27 02:13:13.438, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 26 MiB, 32760 MiB
2026/04/27 02:13:18.439, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 26 MiB, 32760 MiB
2026/04/27 02:13:23.440, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 26 MiB, 32760 MiB
2026/04/27 02:13:28.441, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 26 MiB, 32760 MiB
2026/04/27 02:13:33.441, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 28 MiB, 32760 MiB
2026/04/27 02:13:38.442, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 28 MiB, 32760 MiB
2026/04/27 02:13:43.443, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 484 MiB, 32760 MiB
2026/04/27 02:13:48.444, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 484 MiB, 32760 MiB
2026/04/27 02:13:53.444, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 484 MiB, 32760 MiB
2026/04/27 02:13:58.445, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 482 MiB, 32760 MiB
2026/04/27 02:14:03.446, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 482 MiB, 32760 MiB
2026/04/27 02:14:08.447, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 482 MiB, 32760 MiB
2026/04/27 02:14:13.448, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 482 MiB, 32760 MiB
