timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/20 00:06:19.013, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:06:24.013, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:06:29.016, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:06:34.018, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:06:39.020, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:06:44.022, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:06:49.024, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:06:54.026, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:06:59.028, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:07:04.030, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:07:09.032, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:07:14.034, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:07:19.036, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:07:24.039, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:07:29.041, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:07:34.043, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:07:39.045, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 00:07:44.047, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:07:49.049, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:07:54.051, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:07:59.053, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:04.055, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:09.057, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:14.058, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:19.060, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:24.062, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:29.063, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:34.065, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:39.067, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:44.068, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:49.070, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:54.072, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:08:59.074, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:09:04.076, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:09:09.079, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:09:14.081, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:09:19.082, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 00:09:24.085, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 2 %, 30069 MiB, 32760 MiB
2026/04/20 00:09:29.091, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 2 %, 31371 MiB, 32760 MiB
2026/04/20 00:09:34.098, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 2 %, 31371 MiB, 32760 MiB
2026/04/20 00:09:39.102, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 31427 MiB, 32760 MiB
2026/04/20 00:09:44.104, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 31443 MiB, 32760 MiB
2026/04/20 00:09:49.106, 0, NVIDIA RTX 5000 Ada Generation, 94 %, 88 %, 25363 MiB, 32760 MiB
2026/04/20 00:09:54.109, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 28977 MiB, 32760 MiB
2026/04/20 00:09:59.111, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 28977 MiB, 32760 MiB
2026/04/20 00:10:04.114, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 28977 MiB, 32760 MiB
2026/04/20 00:10:09.116, 0, NVIDIA RTX 5000 Ada Generation, 99 %, 90 %, 28977 MiB, 32760 MiB
2026/04/20 00:10:14.118, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 28977 MiB, 32760 MiB
2026/04/20 00:10:19.120, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 89 %, 28977 MiB, 32760 MiB
2026/04/20 00:10:24.123, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 28977 MiB, 32760 MiB
2026/04/20 00:10:29.126, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 94 %, 28977 MiB, 32760 MiB
2026/04/20 00:10:34.128, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 91 %, 28977 MiB, 32760 MiB
2026/04/20 00:10:39.130, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 92 %, 29325 MiB, 32760 MiB
2026/04/20 00:10:44.133, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 92 %, 29325 MiB, 32760 MiB
2026/04/20 00:10:49.135, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 91 %, 29325 MiB, 32760 MiB
2026/04/20 00:10:54.138, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 90 %, 29325 MiB, 32760 MiB22026/04/20 00:10:59.140, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 29325 MiB, 32760 MiB22026/04/20 00:11:04.142, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 88 %, 29315 MiB, 32760 MiB22026/04/20 00:11:09.145, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 91 %, 29315 MiB, 32760 MiB22026/04/20 00:11:14.147, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 29315 MiB, 32760 MiB22026/04/20 00:11:19.150, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 89 %, 29315 MiB, 32760 MiB22026/04/20 00:11:24.152, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 29315 MiB, 32760 MiB22026/04/20 00:11:29.154, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 84 %, 29315 MiB, 32760 MiB22026/04/20 00:11:34.156, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 91 %, 29315 MiB, 32760 MiB22026/04/20 00:11:39.159, 0, NVIDIA RTX 5000 Ada Generation, 99 %, 89 %, 29315 MiB, 32760 MiB
2026/04/20 00:11:44.161, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 89 %, 29315 MiB, 32760 MiB
2026/04/20 00:11:49.164, 0, NVIDIA RTX 5000 Ada Generation, 94 %, 83 %, 29315 MiB, 32760 MiB
2026/04/20 00:11:54.166, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 91 %, 29315 MiB, 32760 MiB
2026/04/20 00:11:59.168, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 89 %, 29315 MiB, 32760 MiB
2026/04/20 00:12:04.171, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 29327 MiB, 32760 MiB
2026/04/20 00:12:09.174, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 86 %, 29327 MiB, 32760 MiB
2026/04/20 00:12:14.176, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 92 %, 29327 MiB, 32760 MiB
2026/04/20 00:12:19.178, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 92 %, 29327 MiB, 32760 MiB
2026/04/20 00:12:24.180, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 91 %, 29327 MiB, 32760 MiB
