timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/24 15:34:22.352, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 609 MiB, 32760 MiB
2026/04/24 15:34:27.353, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:34:32.354, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:34:37.355, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:34:42.356, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:34:47.357, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:34:52.357, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:34:57.358, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:02.359, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:07.360, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:12.361, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:17.361, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:22.362, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:27.363, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:32.364, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:37.365, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:42.366, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:47.367, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:52.367, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:35:57.368, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:02.369, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:07.370, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:12.371, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:17.371, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:22.372, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:27.373, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:32.374, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:37.375, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:42.375, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:47.376, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:52.377, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:36:57.378, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:02.379, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:07.379, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:12.380, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:17.382, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:22.382, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:27.383, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:32.384, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:37.385, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:42.386, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:47.386, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:52.387, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:37:57.388, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:02.389, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:07.389, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:12.390, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:17.391, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:22.392, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:27.393, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:32.393, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:37.395, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:42.395, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 611 MiB, 32760 MiB
2026/04/24 15:38:47.396, 0, NVIDIA RTX 5000 Ada Generation, 79 %, 68 %, 21149 MiB, 32760 MiB
2026/04/24 15:38:52.397, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 85 %, 23477 MiB, 32760 MiB
2026/04/24 15:38:57.398, 0, NVIDIA RTX 5000 Ada Generation, 14 %, 14 %, 29289 MiB, 32760 MiB
2026/04/24 15:39:02.399, 0, NVIDIA RTX 5000 Ada Generation, 61 %, 53 %, 26523 MiB, 32760 MiB
2026/04/24 15:39:07.400, 0, NVIDIA RTX 5000 Ada Generation, 17 %, 16 %, 26689 MiB, 32760 MiB
2026/04/24 15:39:12.401, 0, NVIDIA RTX 5000 Ada Generation, 17 %, 15 %, 26689 MiB, 32760 MiB
2026/04/24 15:39:17.402, 0, NVIDIA RTX 5000 Ada Generation, 35 %, 33 %, 26689 MiB, 32760 MiB
2026/04/24 15:39:22.403, 0, NVIDIA RTX 5000 Ada Generation, 50 %, 49 %, 26689 MiB, 32760 MiB
2026/04/24 15:39:27.404, 0, NVIDIA RTX 5000 Ada Generation, 80 %, 74 %, 26689 MiB, 32760 MiB
2026/04/24 15:39:32.405, 0, NVIDIA RTX 5000 Ada Generation, 67 %, 59 %, 26689 MiB, 32760 MiB
2026/04/24 15:39:37.406, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 26689 MiB, 32760 MiB
2026/04/24 15:39:42.407, 0, NVIDIA RTX 5000 Ada Generation, 99 %, 85 %, 26689 MiB, 32760 MiB
2026/04/24 15:39:47.408, 0, NVIDIA RTX 5000 Ada Generation, 91 %, 85 %, 26689 MiB, 32760 MiB
2026/04/24 15:39:52.409, 0, NVIDIA RTX 5000 Ada Generation, 87 %, 85 %, 32117 MiB, 32760 MiB
2026/04/24 15:39:57.410, 0, NVIDIA RTX 5000 Ada Generation, 59 %, 54 %, 32117 MiB, 32760 MiB
2026/04/24 15:40:02.411, 0, NVIDIA RTX 5000 Ada Generation, 22 %, 20 %, 32105 MiB, 32760 MiB
2026/04/24 15:40:07.412, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 97 %, 32105 MiB, 32760 MiB
2026/04/24 15:40:12.413, 0, NVIDIA RTX 5000 Ada Generation, 67 %, 58 %, 32105 MiB, 32760 MiB
2026/04/24 15:40:17.414, 0, NVIDIA RTX 5000 Ada Generation, 81 %, 68 %, 32105 MiB, 32760 MiB
2026/04/24 15:40:22.415, 0, NVIDIA RTX 5000 Ada Generation, 67 %, 59 %, 32105 MiB, 32760 MiB
2026/04/24 15:40:27.415, 0, NVIDIA RTX 5000 Ada Generation, 81 %, 71 %, 27359 MiB, 32760 MiB
2026/04/24 15:40:32.417, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 90 %, 27359 MiB, 32760 MiB
2026/04/24 15:40:37.418, 0, NVIDIA RTX 5000 Ada Generation, 46 %, 43 %, 27359 MiB, 32760 MiB
2026/04/24 15:40:42.419, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 27359 MiB, 32760 MiB
2026/04/24 15:40:47.420, 0, NVIDIA RTX 5000 Ada Generation, 58 %, 50 %, 27359 MiB, 32760 MiB
2026/04/24 15:40:52.421, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 27359 MiB, 32760 MiB
2026/04/24 15:40:57.422, 0, NVIDIA RTX 5000 Ada Generation, 58 %, 56 %, 27359 MiB, 32760 MiB
2026/04/24 15:41:02.424, 0, NVIDIA RTX 5000 Ada Generation, 73 %, 69 %, 27371 MiB, 32760 MiB
2026/04/24 15:41:07.425, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 93 %, 27371 MiB, 32760 MiB
