timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/20 18:15:00.940, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 193 MiB, 32760 MiB
2026/04/20 18:15:05.941, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 193 MiB, 32760 MiB
2026/04/20 18:15:10.942, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 193 MiB, 32760 MiB
2026/04/20 18:15:15.943, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 193 MiB, 32760 MiB
2026/04/20 18:15:20.944, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 193 MiB, 32760 MiB
2026/04/20 18:15:25.944, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 196 MiB, 32760 MiB
2026/04/20 18:15:30.945, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 196 MiB, 32760 MiB
2026/04/20 18:15:35.946, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 14785 MiB, 32760 MiB
2026/04/20 18:15:40.947, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 14785 MiB, 32760 MiB
2026/04/20 18:15:45.948, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 14785 MiB, 32760 MiB
2026/04/20 18:15:50.949, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 89 %, 25219 MiB, 32760 MiB
2026/04/20 18:15:55.950, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 84 %, 25597 MiB, 32760 MiB
2026/04/20 18:16:00.953, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 88 %, 25597 MiB, 32760 MiB
2026/04/20 18:16:05.955, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 90 %, 25597 MiB, 32760 MiB
2026/04/20 18:16:10.956, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 82 %, 25597 MiB, 32760 MiB
2026/04/20 18:16:15.957, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 89 %, 25597 MiB, 32760 MiB
2026/04/20 18:16:20.958, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 90 %, 25597 MiB, 32760 MiB
2026/04/20 18:16:25.960, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 11 %, 25597 MiB, 32760 MiB
2026/04/20 18:16:30.960, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 88 %, 29559 MiB, 32760 MiB
2026/04/20 18:16:35.961, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 89 %, 29559 MiB, 32760 MiB
2026/04/20 18:16:40.962, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 83 %, 29559 MiB, 32760 MiB
